refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
ISATOL	Co	2	0	6	263	Octahedral	2.28	('N', 'N', 'O', 'O', 'O', 'O')	['H22-C28-N2-O4']	H22-C28-N2-O4-Co	7	27	['ISATOL']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ZEQPOC	Co	2	0	6	473	Octahedral	2.40	('N', 'N', 'O', 'O', 'O', 'O')	['H23-C23-N3-O3-Cl', 'H23-C23-N3-O3-Cl']	H46-C46-N6-O6-Cl2-Co	7	27	['ZEQPOC']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KAKPUK	Co	2	0	6	609	Octahedral	0.20	('N', 'N', 'O', 'O', 'O', 'O')	['H23-C35-O2', 'H23-C35-O2', 'H5-C5-N', 'H5-C5-N']	H56-C80-N2-O4-Co	7	27	['KAKPUK']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KAKQAR	Co	2	0	6	607	Octahedral	0.76	('N', 'N', 'O', 'O', 'O', 'O')	['H23-C35-O2', 'H23-C35-O2', 'H8-C10-N2']	H54-C80-N2-O4-Co	7	27	['KAKQAR']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
IJEBUU	Co	2	0	6	219	Octahedral	5.03	('N', 'N', 'O', 'O', 'O', 'O')	['H26-C15-N2', 'H3-C2-O2', 'H3-C2-O2']	H32-C19-N2-O4-Co	7	27	['IJEBUU']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
GASCIN	Co	2	0	6	327	Octahedral	1.50	('N', 'N', 'O', 'O', 'O', 'O')	['H26-C38-N2-O4']	H26-C38-N2-O4-Co	7	27	['GASCIN']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HESGAO	Co	2	0	6	229	Octahedral	1.68	('N', 'N', 'O', 'O', 'O', 'O')	['H28-C16-N2-O8']	H28-C16-N2-O8-Co	7	27	['HESGAO']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ACNCOA10	Co	2	2	6	269	Octahedral	0.07	('N', 'N', 'O', 'O', 'O', 'O')	['H3-C2-N', 'H3-C2-N', 'H9-C3-O-P', 'H9-C3-O-P', 'H9-C3-O-P', 'H9-C3-O-P']	H42-C16-N2-O4-P4-Co	7	27	['ACNCOA10']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BIYHEW	Co	2	0	6	177	Octahedral	4.70	('N', 'N', 'O', 'O', 'O', 'O')	['H3-C2-O2', 'H3-C2-O2', 'H6-C4-N2', 'H6-C4-N2']	H18-C12-N4-O4-Co	7	27	['BIYHEW']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
WUYJIK	Co	2	0	6	189	Octahedral	5.41	('N', 'N', 'O', 'O', 'O', 'O')	['H3-C2-O2', 'H3-C2-O2', 'H6-C5-N2', 'H6-C5-N2']	H18-C14-N4-O4-Co	7	27	['WUYJIK']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
